hhid,housing,high,hh_inc,hh_size,expec_stockret_prior,expec_hpgrowth_prior,expec_irate_perc,expec_inflation_perc,expec_houseprice_perc,expec_hh_workincome_perc,expec_stockret_perc,expec_gdp_perc,expec_rent_perc,female,age_hh_head_18_24,age_hh_head_25_29,age_hh_head_30_34,age_hh_head_35_39,age_hh_head_40_44,age_hh_head_45_49,age_hh_head_50_54,age_hh_head_55_64,age_hh_head_65,age_children_none,inc_5000,inc_5000_8000,inc_8000_10000,inc_10000_12000,inc_12000_15000,inc_15000_20000,inc_20000_25000,inc_25000_30000,inc_30000_35000,inc_35000_40000,inc_40000_45000,inc_45000_50000,inc_50000_60000,inc_60000_70000,inc_70000_100000,inc_100000,atleast_bachelor,owner,stockowner,prior,z_conf_prior,expec_irate_perc_t01,expec_inflation_perc_t01,expec_houseprice_perc_t01,expec_hh_workincome_perc_t01,expec_stockret_perc_t01,expec_gdp_perc_t01,expec_rent_perc_t01,prior_t01,prior_squ,prior_squ_t01
04897274,1,0,16,4,,20,8,10,25,30,20,60,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,20,-.096149743,8,10,25,30,20,,10,20,400,400
04897372,1,0,26,4,,1,.1,1,2.2,4,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-.96465683,.1,1,2.2,4,1,3,3,1,1,1
04897745,1,1,27,4,,3,1,2,5,5,5,2,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,-.096149743,1,2,5,5,5,2,5,3,9,9
04897834,1,0,26,6,,1.2,4,2,2,4,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.2,-.96465683,4,2,2,4,1,2,10,1.2,1.4400001,1.4400001
04897915,1,1,23,4,,.5,1,2,5,5,8,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,.5,-1.8331639,1,2,5,5,8,4,5,.5,.25,.25
04898023,0,0,26,1,0,,.1,1.3,5,2,1,1.3,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,.77235729,.1,1.3,5,2,1,1.3,3,0,0,0
04898123,1,1,27,1,,3,2,4,10,5,8,5,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,3,-1.8331639,2,4,10,5,8,5,10,3,9,9
04898145,1,0,26,2,,5,.5,2,5,4,4,5,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,-.96465683,.5,2,5,4,4,5,9,5,25,25
04898147,1,0,26,2,,10,2,2,2,50,5,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10,-.096149743,2,2,2,50,5,5,2,10,100,100
04898364,0,1,10,1,0,,2,20,15,10,0,20,16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-.096149743,2,20,15,10,,20,16,0,0,0
04898913,1,1,26,2,,2,2,2,2,20,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,.77235729,2,2,2,20,2,2,2,2,4,4
04899385,0,1,4,3,50,,10,10,10,10,10,10,10,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50,1.6408644,10,10,10,10,10,10,10,50,2500,2500
04899581,0,0,27,3,4,,1,3,5,5,2,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,.77235729,1,3,5,5,2,1,,4,16,16
04900192,1,0,15,1,,2,2,2,20,5,10,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,-.096149743,2,2,20,5,10,5,5,2,4,4
04901003,1,1,21,2,,8,1,3,4,4,15,7,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,8,-.096149743,1,3,4,4,15,7,15,8,64,64
04901142,1,0,16,2,,5,0,1.2,1,5,.5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,5,-1.8331639,0,1.2,1,5,.5,1,1,5,25,25
04901167,0,1,23,3,0,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-1.8331639,0,0,,0,,,,0,0,0
04901261,0,0,27,6,5,,1,2,2,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,-.096149743,1,2,2,1,1,2,2,5,25,25
04901474,0,0,19,6,5,,2,2,5,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,.77235729,2,2,5,2,2,2,2,5,25,25
