hhid,housing,high,hh_inc,hh_size,expec_stockret_prior,expec_hpgrowth_prior,expec_irate_perc,expec_inflation_perc,expec_houseprice_perc,expec_hh_workincome_perc,expec_stockret_perc,expec_gdp_perc,expec_rent_perc,female,age_hh_head_18_24,age_hh_head_25_29,age_hh_head_30_34,age_hh_head_35_39,age_hh_head_40_44,age_hh_head_45_49,age_hh_head_50_54,age_hh_head_55_64,age_hh_head_65,age_children_none,inc_5000,inc_5000_8000,inc_8000_10000,inc_10000_12000,inc_12000_15000,inc_15000_20000,inc_20000_25000,inc_25000_30000,inc_30000_35000,inc_35000_40000,inc_40000_45000,inc_45000_50000,inc_50000_60000,inc_60000_70000,inc_70000_100000,inc_100000,atleast_bachelor,owner,stockowner,prior,z_conf_prior,expec_irate_perc_t01,expec_inflation_perc_t01,expec_houseprice_perc_t01,expec_hh_workincome_perc_t01,expec_stockret_perc_t01,expec_gdp_perc_t01,expec_rent_perc_t01,prior_t01,prior_squ,prior_squ_t01
02002368,0,0,23,2,10,,2,2.2,4,.2,2,2.2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,10,.77235729,2,2.2,4,.2,2,2.2,2,10,100,100
02002718,0,0,27,5,10,,2,5,40,10,7,12,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,1.6408644,2,5,40,10,7,12,,10,100,100
02003116,1,0,26,2,,2,1.5,3,6,2,4,3,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,-.96465683,1.5,3,6,2,4,3,10,2,4,4
02003215,0,1,27,1,8,,1,2,15,10,8,2,20,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,8,-.096149743,1,2,15,10,8,2,20,8,64,64
02003659,0,1,27,1,3,,2,2.5,5,0,8,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,3,-.096149743,2,2.5,5,0,8,3,5,3,9,9
02004081,1,1,23,2,,7,1,3,2,50,4,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7,-.96465683,1,3,2,50,4,2,2,7,49,49
02004636,0,0,18,1,100,,5,8,10,5,10,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,100,1.6408644,5,8,10,5,10,1,1,,10000,
02004660,0,1,18,1,0,,.5,2.2,15,2,10,10,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.77235729,.5,2.2,15,2,10,10,5,0,0,0
02005489,0,1,27,5,2,,1,3,3,1,3,3,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,2,.77235729,1,3,3,1,3,3,10,2,4,4
02005879,1,1,27,1,,5,3,20,15,75,15,22,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1.6408644,3,20,15,75,15,22,3,5,25,25
02006039,1,0,26,1,,20,.1,22,15,10,40,30,15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,20,-.096149743,.1,22,15,10,40,30,15,20,400,400
02006114,0,1,27,3,0,,5,5,5,5,5,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,-.096149743,5,5,5,5,5,5,10,0,0,0
02006511,0,1,26,2,18,,1,1,5,1.5,1,1,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18,.77235729,1,1,5,1.5,1,1,10,18,324,324
02006823,1,0,27,2,,5,.75,.9,1.5,5,3.2,1.1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,-.096149743,.75,.89999998,1.5,5,3.2,1.1,2,5,25,25
02007026,1,0,16,1,,10,1,2,3,1,6,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,-.96465683,1,2,3,1,6,2,2,10,100,100
02007215,1,0,17,1,,6,1,3,2,0,4,2,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,-.096149743,1,3,2,0,4,2,5,6,36,36
02007278,1,1,21,1,,5,1,2,5,3,5,4,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,-.096149743,1,2,5,3,5,4,10,5,25,25
02007386,0,0,26,2,5,,2,5,5,40,2,5,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,1.6408644,2,5,5,40,2,5,5,5,25,25
02007570,1,0,15,1,,10,.2,4,1.5,0,3,3,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10,.77235729,.2,4,1.5,0,3,3,10,10,100,100
02007623,0,1,27,2,6,,1.7,2,5,2,7,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,-.96465683,1.7,2,5,2,7,3,2,6,36,36
02007660,0,1,26,1,6,,2,2,4,1,10,4,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,.77235729,2,2,4,1,10,4,2,6,36,36
02008281,1,1,23,1,,7,1,3,6,5,10,5,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,-.096149743,1,3,6,5,10,5,6,7,49,49
02008657,1,0,27,2,,10,1,2,2,1,1,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,-.096149743,1,2,2,1,1,1,5,10,100,100
02009112,0,1,27,1,5,,2,2,2,0,5,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,-.096149743,2,2,2,0,5,2,3,5,25,25
02009117,1,0,17,1,,5,3,2.2,1.5,2,3,2,1.5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,5,-.96465683,3,2.2,1.5,2,3,2,1.5,5,25,25
02009468,1,0,27,2,,4,1,3,4,3,6,4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,-.96465683,1,3,4,3,6,4,5,4,16,16
02011337,1,0,17,3,,5,20,50,75,10,10,25,50,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,-.096149743,20,,,10,10,25,50,5,25,25
02011694,1,1,27,5,,5,2,2,5,2,6,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,-.096149743,2,2,5,2,6,3,2,5,25,25
02012388,0,0,27,1,5,,.5,2,2,5,5,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,-.096149743,.5,2,2,5,5,5,5,5,25,25
02012834,1,0,8,1,,3,2,2,3,2,3,5,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,.77235729,2,2,3,2,3,5,3,3,9,9
02012853,1,0,21,1,,35,2,3,3,1.5,20,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,35,-.96465683,2,3,3,1.5,20,4,4,35,1225,1225
02013149,1,0,27,4,,4,3,4,3,0,7,3,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,-.096149743,3,4,3,0,7,3,8,4,16,16
02013389,1,1,19,1,,10,10,10,10,10,5,10,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,10,-.096149743,10,10,10,10,5,10,10,10,100,100
02013635,0,1,16,1,5,,.2,1.75,2.75,10,5.25,2.15,4.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,-.096149743,.2,1.75,2.75,10,5.25,2.1500001,4.5,5,25,25
02014064,1,0,26,6,,25,1.5,2.5,2.5,5,3,2.5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25,-.96465683,1.5,2.5,2.5,5,3,2.5,5,25,625,625
02014098,1,0,27,1,,5,2.5,2.5,1.75,0,4.1,1.75,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,-.96465683,2.5,2.5,1.75,0,4.0999999,1.75,3,5,25,25
02014220,0,0,26,2,4,,.05,1.8,3.5,3.5,4,3.2,1.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,-.096149743,.050000001,1.8,3.5,3.5,4,3.2,1.5,4,16,16
02016420,0,1,11,1,10,,1,2,3,0,7,5,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,10,1.6408644,1,2,3,0,7,5,3,10,100,100
02016474,0,1,26,2,9,,1.5,2,10,2,10,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,9,1.6408644,1.5,2,10,2,10,3,5,9,81,81
02016925,1,1,18,1,,2,.5,2,5,2,8,2,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,-.096149743,.5,2,5,2,8,2,5,2,4,4
02018124,1,1,27,2,,5,1.75,2,5,5,12,1.5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,.77235729,1.75,2,5,5,12,1.5,5,5,25,25
02019238,0,0,15,1,5,,0,3,3,2,3,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,.77235729,0,3,3,2,3,2,3,5,25,25
02019255,0,0,21,1,10,,1,10,10,1,2,2,50,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,10,.77235729,1,10,10,1,2,2,50,10,100,100
02019273,1,1,17,1,,4,1,2,3,0,8,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,-.96465683,1,2,3,0,8,3,2,4,16,16
02019907,0,1,21,2,8,,0,12,100,-25,8,1,80,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,8,.77235729,0,12,,,8,1,,8,64,64
02020446,0,1,27,3,35,,5,10,30,80,8,35,25,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,35,.77235729,5,10,30,,8,35,25,35,1225,1225
02020799,1,1,4,1,,0,0,2,5,0,4,1,4,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-.096149743,0,2,5,0,4,1,4,0,0,0
02021180,0,1,21,2,4,,1,3,6,3,4,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,.77235729,1,3,6,3,4,5,5,4,16,16
02021253,0,1,16,1,10,,15,15,5,5,10,15,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10,-.96465683,15,15,5,5,10,15,5,10,100,100
02022071,1,1,27,5,,10,.02,2,7,2,15,4,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,10,-.96465683,.02,2,7,2,15,4,10,10,100,100
02023003,0,1,21,1,7,,1.1,2.5,7,0,8,4,12,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,7,-.096149743,1.1,2.5,7,0,8,4,12,7,49,49
02023746,0,1,27,1,3,,2,3,5,3,5,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,-.096149743,2,3,5,3,5,2,4,3,9,9
02024421,0,0,27,2,3,,.5,3,10,-5,3,2,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,-.96465683,.5,3,10,-5,3,2,8,3,9,9
02025293,0,1,26,1,6,,3,4,4,2,6,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,6,-.096149743,3,4,4,2,6,5,2,6,36,36
02025568,1,0,26,2,,2,2,3,2,.5,2.2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,-.096149743,2,3,2,.5,2.2,1,2,2,4,4
02026641,0,1,26,1,5,,5,5,10,100,5,5,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,-.096149743,5,5,10,,5,5,10,5,25,25
02027185,0,0,26,6,100,,5,10,9,67,34,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,100,.77235729,5,10,9,67,34,8,1,,10000,
02027450,0,1,13,1,10,,1,3,5,1,8,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,10,1.6408644,1,3,5,1,8,2,2,10,100,100
02028820,1,0,21,3,,5,1,2,2,5,5,2,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,.77235729,1,2,2,5,5,2,5,5,25,25
02028934,1,0,16,2,,10,.02,5,7,0,4,3,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,10,-.096149743,.02,5,7,0,4,3,10,10,100,100
02029003,1,0,26,3,,3,.1,3,1,5,7,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,-.096149743,.1,3,1,5,7,1,6,3,9,9
02029064,1,1,26,1,,5,.2,2.5,6,2.5,6,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,-.96465683,.2,2.5,6,2.5,6,1,5,5,25,25
02029766,1,1,27,2,,5,.1,2.2,6,0,2,3,50,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,-1.8331639,.1,2.2,6,0,2,3,50,5,25,25
02029847,1,1,15,1,,25,5,10,15,10,50,10,15,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,25,-.96465683,5,10,15,10,,10,15,25,625,625
02030356,1,1,27,6,,10,2,7,7,1,6,3,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,-.96465683,2,7,7,1,6,3,5,10,100,100
02030446,1,1,16,2,,50,4,6,3,0,0,7,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50,-.096149743,4,6,3,0,,7,5,50,2500,2500
02030687,1,0,26,1,,7,3,4,2,3,5,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,-.96465683,3,4,2,3,5,3,3,7,49,49
02031357,0,1,26,2,8,,1,2.3,10,7,8,6,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,-.096149743,1,2.3,10,7,8,6,10,8,64,64
02031486,0,1,27,4,1,,1,2,5,5,5,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,.77235729,1,2,5,5,5,1,5,1,1,1
02031527,1,1,27,1,,10,1,5,5,10,5,3,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,-.96465683,1,5,5,10,5,3,10,10,100,100
02031722,0,1,26,4,10,,1,12,20,5,2,5,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,10,-.096149743,1,12,20,5,2,5,10,10,100,100
02032017,1,1,15,1,,6,.01,3.2,6,3.3,5.4,4.2,6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,6,-.96465683,.0099999998,3.2,6,3.3,5.4000001,4.1999998,6,6,36,36
02032042,0,1,11,2,15,,12,3,10,5,6,15,30,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1.6408644,12,3,10,5,6,15,30,15,225,225
02032495,0,0,18,2,6,,.75,2.2,10,1,2,2,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,6,.77235729,.75,2.2,10,1,2,2,5,6,36,36
02033316,1,0,27,2,,5,2,3,2,0,5,3,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,5,-.096149743,2,3,2,0,5,3,5,5,25,25
02034374,0,0,27,2,7,,1,1,5,3,7,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,-.96465683,1,1,5,3,7,2,4,7,49,49
02034747,1,1,26,4,,50,1.2,2.75,50,2.2,50,50,2.75,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,50,-.096149743,1.2,2.75,50,2.2,,,2.75,50,2500,2500
02034946,0,1,26,2,1,,2,5,5,25,3,2,5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,1,1.6408644,2,5,5,25,3,2,5,1,1,1
02035034,1,1,19,4,,70,10,20,50,25,20,50,30,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,70,-.96465683,10,20,50,25,20,,30,70,4900,4900
02035646,1,1,23,2,,10,2,1,1,0,4,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,10,-.96465683,2,1,1,0,4,3,2,10,100,100
02035875,0,1,18,2,5,,.02,2,10,0,10,3,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,.77235729,.02,2,10,0,10,3,5,5,25,25
02036061,0,0,26,1,3,,.3,2,2,2,2,2,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,3,-.096149743,.30000001,2,2,2,2,2,5,3,9,9
02036399,1,0,27,3,,5,.5,2,5,1.5,10,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,5,-.96465683,.5,2,5,1.5,10,2,5,5,25,25
02037066,0,1,26,3,10,,1,2,5,4,10,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,10,-.96465683,1,2,5,4,10,3,4,10,100,100
02038786,1,0,27,2,,3,2.75,4,3,0,2,3,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,-.096149743,2.75,4,3,0,2,3,5,3,9,9
02038958,1,0,23,3,,2,.5,2.2,1.5,1,2,1,1.5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,2,-1.8331639,.5,2.2,1.5,1,2,1,1.5,2,4,4
02039030,0,0,26,1,2,,3,5,15,10,3,2,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,2,1.6408644,3,5,15,10,3,2,5,2,4,4
02039079,1,0,21,1,,2,1.5,1.75,2,1,1.5,.5,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,-.096149743,1.5,1.75,2,1,1.5,.5,2,2,4,4
02039755,1,1,27,6,,53,.7,3,6,1.3,17,2.7,4.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,53,-.096149743,.69999999,3,6,1.3,17,2.7,4.0999999,53,2809,2809
02040270,1,0,18,1,,5,1,2.2,1.5,10,10,2,1.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,5,-.096149743,1,2.2,1.5,10,10,2,1.5,5,25,25
02040935,1,1,27,1,,1.5,.75,2.5,1.5,3.5,6,2.1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.5,.77235729,.75,2.5,1.5,3.5,6,2.0999999,4,1.5,2.25,2.25
02041024,1,0,27,2,,2,2,2.2,1.5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,-.096149743,2,2.2,1.5,1,1,1,1,2,4,4
02041247,1,0,21,3,,0,1,2.2,1.5,1,2,1,1.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0,-.096149743,1,2.2,1.5,1,2,1,1.5,0,0,0
02041978,1,1,17,1,,2,1,2,2,1,5,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2,-.096149743,1,2,2,1,5,4,3,2,4,4
02042186,1,0,23,2,,5,.5,2.5,1.5,0,7,1.5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,-.96465683,.5,2.5,1.5,0,7,1.5,2,5,25,25
02042293,0,1,27,5,12,,2,4,15,10,10,3.2,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,-.96465683,2,4,15,10,10,3.2,5,12,144,144
02042830,0,1,26,2,20,,3,2,7,10,20,10,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,-.96465683,3,2,7,10,20,10,10,20,400,400
02042984,1,1,26,1,,2,2,2.2,6,4,5,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,-1.8331639,2,2.2,6,4,5,2,2,2,4,4
02043317,0,1,27,3,0,,0,3,10,2,10,2.2,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,1.6408644,0,3,10,2,10,2.2,10,0,0,0
02044043,0,1,18,4,10,,1,3,3,2,2,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,10,.77235729,1,3,3,2,2,3,5,10,100,100
02044205,0,0,17,1,10,,.75,2,7,2,10,2,15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10,.77235729,.75,2,7,2,10,2,15,10,100,100
02045154,0,0,18,2,8,,.05,2.2,4,-50,8,2,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,8,-.96465683,.050000001,2.2,4,,8,2,5,8,64,64
02045671,0,0,27,3,8,,1.5,2,5,20,6,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,8,.77235729,1.5,2,5,20,6,2,5,8,64,64
02045950,0,0,26,2,5,,1,2,5,3,3,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,.77235729,1,2,5,3,3,3,5,5,25,25
02046270,1,0,19,1,,5,2,2.2,1.5,5,10,7,2.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-.096149743,2,2.2,1.5,5,10,7,2.5,5,25,25
02048375,0,0,27,2,10,,1,.05,10,60,5,10,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,.77235729,1,.050000001,10,60,5,10,5,10,100,100
02050939,0,1,26,3,20,,1,3,5,5,10,10,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,20,.77235729,1,3,5,5,10,10,5,20,400,400
02051825,1,0,23,2,,2,1,3,5,4,1,3,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,2,-.96465683,1,3,5,4,1,3,5,2,4,4
02052487,0,1,26,2,5,,.5,3,20,3,6,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,.77235729,.5,3,20,3,6,2,3,5,25,25
02052819,0,0,27,2,3,,27,1,3,.5,2,2,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,3,1.6408644,,1,3,.5,2,2,6,3,9,9
02052978,1,1,26,2,,10,3,3,6,0,5,5,10,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,10,.77235729,3,3,6,0,5,5,10,10,100,100
